Block,Match_ID,Site,Year,Month,Date,Obs1.Time,Obs2.Time,Group.size,Cluster_size,Obs1,Obs2,Choidogjamts,Lat.1,Long.1,Obs1.AnglePath,Obs1.AngleDetection,Obs1.Distance,Latnear,Lonnear,Neardistance,Obs1.Class1,Obs1.Class2,Obs1.Class3,Obs1.Class4,Obs1.AF,Obs1.Young,Obs1.Kid,Obs1.Unclassified,Obs2.Total,Obs2.Name,Lat.2,Long.2,Species,Sightings,Obs2.Class1,Obs2.Class2,Obs2.Class3,Obs2.Class4,Obs2.AF,Obs2.Young,Obs2.Kid,Obs2.Unclassified,total,Transect_Length
5,Day2_3,Day2_3,2022,10,31,,1403,9,,0,1,,,,,,,,,,,,,,,,,,0,Tsolmonbayar,43.64883,102.55817,,ibex,,,,,5,2,2,,9,12.94634436
5,Day2_4,Day2_4,2022,10,31,1024,,5,5,1,0,Battsog,43.62582,102.63433,260,360,600,43.62582,102.63433,600,,1,,,1,1,2,,5,,,,argali,argali,,,,,,,,,0,15.04917321
5,Day2_4,Day2_4,2022,10,31,1054,,2,2,1,0,Battsog,43.62492,102.6179,270,270,275,43.62593,102.6126,150,,,,,1,,1,,2,,,,argali,argali,,,,,,,,,0,15.04917321
5,Day2_4,Day2_4,2022,10,31,1540,,3,3,1,0,Battsog,43.63364,102.61899,180,180,170,43.63364,102.61899,170,,1,,,1,,1,,3,,,,ibex,ibex,,,,,,,,,0,15.04917321
5,Day2_5,Day2_5,2022,10,31,1139,,2,2,1,0,Tegshjargal,43.64133,102.63743,90,300,540,43.64133,102.63743,540,,,2,,,,,,2,,,,ibex,ibex,,,,,,,,,0,7.295334087
5,Day2_5,Day2_5,2022,10,31,1331,,2,2,1,0,Tegshjargal,43.64556,102.65755,60,170,1216,43.64556,102.65755,1216,,,,,,,,2,2,,,,ibex,ibex,,,,,,,,,0,7.295334087
5,Day2_5,Day2_5,2022,10,31,,1118,3,,0,1,,,,,,,,,,,,,,,,,,0,Batbold,43.64934,102.62607,,ibex,,,,,1,2,,,3,7.295334087
5,Day2_5,Day2_5,2022,10,31,,1141,5,,0,1,,,,,,,,,,,,,,,,,,0,Batbold,43.64766,102.62677,,ibex,,,,4,1,,,,5,7.295334087
5,Day2_5,Day2_5,2022,10,31,,1350,7,,0,1,,,,,,,,,,,,,,,,,,0,Batbold,43.64627,102.65717,,argali,,,1,,3,,3,,7,7.295334087
5,Day2_6,Day2_6,2022,10,30,1017,,7,7,1,0,Choidogjamts,43.53262,102.67435,315,280,467,43.53491,102.6701,309,,,,,4,3,,,7,,,,ibex,ibex,,,,,,,,,0,19.06165357
5,Day2_6,Day2_6,2022,10,30,1105,,1,1,1,0,Choidogjamts,43.54266,102.65994,318,340,157,43.54405,102.6598,0,,,,1,,,,,1,,,,ibex,ibex,,,,,,,,,0,19.06165357
5,Day2_6,Day2_6,2022,10,30,1142,,4,4,1,0,Choidogjamts,43.54857,102.65408,293,275,513,43.54988,102.6496,218,,,2,2,,,,,4,,,,ibex,ibex,,,,,,,,,0,19.06165357
5,Day2_6,Day2_6,2022,10,30,1548,,5,5,1,1,Choidogjamts,43.55956,102.58853,138,225,130,43.55956,102.58853,130,,1,,,1,3,,,5,,,,ibex,ibex,,,,,,,,,0,19.06165357
5,Day2_6,Day2_6,2022,10,30,1709,,4,4,1,0,Choidogjamts,43.54354,102.61268,141,40,110,43.54354,102.61268,110,,,3,1,,,,,4,,,,ibex,ibex,,,,,,,,,0,19.06165357
5,Day2_6,Day2_6,2022,10,30,1752,,3,3,1,1,Choidogjamts,43.54206,102.62316,150,330,171,43.54206,102.62316,171,,,,3,,,,,3,,,,ibex,ibex,,,,,,,,,0,19.06165357
5,Day2_6,Day2_6,2022,10,30,1809,,2,2,1,0,Choidogjamts,43.53573,102.62978,156,75,164,43.53573,102.62978,164,,,,,2,,,,2,,,,ibex,ibex,,,,,,,,,0,19.06165357
5,Day2_6,Day2_6,2022,10,30,,1040,5,,0,1,,,,,,,,,,,,,,,,,,0,Enkhsaikhan,43.53249,102.67432,,ibex,,,,,3,,2,,5,19.06165357
5,Day2_6,Day2_6,2022,10,30,,1830,3,,0,1,,,,,,,,,,,,,,,,,,0,Enkhsaikhan,43.53017,102.59184,,ibex,,,,,1,,2,,3,19.06165357
